Departed Seats,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Alaska,19047.68857840766,20409.767756691526,21187.46450826949,22348.327592479098,22658.92840651783,21942.834526394985,22468.84292346079,23350.823925627243,24159.253922561045,25137.40767656194,24827.109017536648,25330.76047331036,26144.220830911723,24730.550641333542,22375.14351911969,22525.893686230786,23801.959515960407,24268.59024230253,25829.679380059988,27428.99795559759,30045.01584870567,31731.186747007392,33549.4258989377,45581.81041618316,45954.98783794109
Hawaiian,14666.252973664983,14771.511350897988,14118.472381685422,14615.454053186142,5776.167887181132,16767.74684872301,15530.419530678439,13128.981013233697,12005.932355402296,11661.757916342947,11803.583162105044,12608.742414403276,13659.018989488924,15506.723867502022,17269.82997954372,16516.591772625947,17187.44414891954,19753.716597663577,20117.624902640673,20878.213829086624,21443.293879516455,21739.818414514026,22348.87151178558,22367.028333841172,21395.618670285392
Spirit,858.5530557571299,1151.4012739787104,1530.7884582767656,2083.785722486448,3495.751229651587,4517.337896353105,4805.715445139719,5352.07870148019,5483.707698964388,6237.757610316443,6044.771344571577,6279.22700270161,8877.683875563007,8879.63513685214,8032.4098298728995,8585.016951268884,10156.147985082756,12431.558640139563,14448.920393175595,16702.008022377606,21522.18905489214,26020.697895004403,29401.950164654136,34940.80281782052,41450.00377022788
Allegiant,0.0,0.0,0.0,0.0,0.0,429.36754933908935,161.78603538999621,277.5208311231673,683.5522228234914,1168.7503405314296,1511.0302815128584,2746.6503439529497,3962.0644936471926,4858.073098312794,6036.434279948956,6608.894705070468,6834.7541160127985,7989.113656519709,8306.694279544761,9308.07586228907,11183.646821902386,13358.881658333048,14904.58023448294,16488.83911456515,18206.2763068781
 -- sub Other,34572.49460782977,36332.68038156822,36836.72534823168,39047.567368151686,31930.847523350545,43657.28682081019,42966.76393466895,42109.404471464295,42332.44619975122,44205.67354375276,44186.49380572613,46965.3802343682,52642.98818961085,53974.982744000496,53713.81760848527,54236.39711519608,57980.305765975514,64442.97913662538,68702.91895542102,74317.29566935089,84194.14560501665,92850.58471485887,100204.82780986035,119378.48068241,127006.88658533245
, , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , 
Total All Sectors,892353.3198256877,893945.0403711727,911590.8449083372,911940.6957867768,930971.0119219602,964656.9690697067,926583.3560667321,897848.322743381,836242.0024400855,861877.9454695176,863992.4752923328,877162.4662575568,886327.8445297453,845069.396253138,785565.5251440222,778087.5452804782,791419.2734886635,793103.3192247956,804792.6612564332,820580.153687944,859512.3904966436,899099.2362564447,931283.1170309455,972595.8423115532,1003638.701639486
, , , , , , , , , , , , , , , , , , , , , , , , , 
* system departures times average seat size, , , , , , , , , , , , , , , , , , , , , , , , , 
"Data Source:  US DOT Form 41, Schedules P52", , , , , , , , , , , , , , , , , , , , , , , , , 
